starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 12:43:43 2024	1726731823	10	15	25	5
Thu Sep 19 12:43:43 2024	1726731823	14	11	25	10
Thu Sep 19 12:43:43 2024	1726731823	11	14	25	4
Thu Sep 19 12:43:43 2024	1726731823	7	18	25	16
Thu Sep 19 12:43:43 2024	1726731823	14	12	25	10
Thu Sep 19 12:43:43 2024	1726731823	8	17	25	17
Thu Sep 19 12:43:43 2024	1726731823	6	19	25	14
Thu Sep 19 12:43:43 2024	1726731823	14	12	25	10
Thu Sep 19 12:43:43 2024	1726731823	8	18	25	17
Thu Sep 19 12:43:43 2024	1726731823	11	14	25	13
Thu Sep 19 12:43:43 2024	1726731823	11	15	25	14
Thu Sep 19 12:43:43 2024	1726731823	6	20	25	14
Thu Sep 19 12:43:43 2024	1726731823	7	18	25	16
Thu Sep 19 12:43:43 2024	1726731823	8	18	26	17
Thu Sep 19 12:43:43 2024	1726731823	6	19	26	14
Thu Sep 19 12:43:43 2024	1726731823	8	18	26	17
Thu Sep 19 12:43:43 2024	1726731823	11	14	26	13
Thu Sep 19 12:43:43 2024	1726731823	6	20	26	17
Thu Sep 19 12:43:43 2024	1726731823	14	12	26	11
Thu Sep 19 12:43:42 2024	1726731822	3	23	26	22
Thu Sep 19 12:43:43 2024	1726731823	14	12	26	11
Thu Sep 19 12:43:43 2024	1726731823	6	20	26	17
Thu Sep 19 12:43:43 2024	1726731823	11	14	26	13
Thu Sep 19 12:43:43 2024	1726731823	11	15	26	15
Thu Sep 19 12:43:43 2024	1726731823	7	19	26	16
Thu Sep 19 12:43:43 2024	1726731823	7	19	26	14
Thu Sep 19 12:43:43 2024	1726731823	11	15	26	14
Thu Sep 19 12:43:43 2024	1726731823	11	15	26	6
Thu Sep 19 12:43:43 2024	1726731823	7	19	26	16
Thu Sep 19 12:43:43 2024	1726731823	7	20	26	14
Thu Sep 19 12:43:43 2024	1726731823	6	20	26	17
Thu Sep 19 12:43:43 2024	1726731823	10	16	26	14
Thu Sep 19 12:43:43 2024	1726731823	8	19	26	16
Thu Sep 19 12:43:43 2024	1726731823	7	20	26	14
Thu Sep 19 12:43:43 2024	1726731823	11	16	26	15
Thu Sep 19 12:43:43 2024	1726731823	8	18	26	15
Thu Sep 19 12:43:43 2024	1726731823	15	12	26	6
Thu Sep 19 12:43:43 2024	1726731823	10	16	26	14
Thu Sep 19 12:43:43 2024	1726731823	8	18	26	17
Thu Sep 19 12:43:43 2024	1726731823	11	16	26	15
Thu Sep 19 12:43:43 2024	1726731823	15	12	27	6
Thu Sep 19 12:43:43 2024	1726731823	10	16	27	14
Thu Sep 19 12:43:43 2024	1726731823	8	18	27	17
Thu Sep 19 12:43:43 2024	1726731823	7	20	27	17
Thu Sep 19 12:43:42 2024	1726731822	3	23	27	22
Thu Sep 19 12:43:43 2024	1726731823	11	16	27	15
Thu Sep 19 12:43:43 2024	1726731823	5	22	27	22
Thu Sep 19 12:43:43 2024	1726731823	8	18	27	17
Thu Sep 19 12:43:42 2024	1726731822	4	23	27	22
Thu Sep 19 12:43:43 2024	1726731823	7	20	27	17
Thu Sep 19 12:43:42 2024	1726731822	4	23	27	22
Thu Sep 19 12:43:42 2024	1726731822	4	23	27	22
Thu Sep 19 12:43:43 2024	1726731823	8	18	27	17
Thu Sep 19 12:43:42 2024	1726731822	4	23	27	22
Thu Sep 19 12:43:42 2024	1726731822	4	23	27	22
Thu Sep 19 12:43:42 2024	1726731822	4	23	27	22
Thu Sep 19 12:43:43 2024	1726731823	10	17	27	12
Thu Sep 19 12:43:42 2024	1726731822	4	23	27	22
Thu Sep 19 12:43:43 2024	1726731823	7	20	27	17
Thu Sep 19 12:43:42 2024	1726731822	4	23	27	22
Thu Sep 19 12:43:43 2024	1726731823	8	19	27	17
Thu Sep 19 12:43:43 2024	1726731823	6	21	27	20
Thu Sep 19 12:43:42 2024	1726731822	4	23	27	22
Thu Sep 19 12:43:43 2024	1726731823	8	19	27	18
Thu Sep 19 12:43:43 2024	1726731823	6	21	27	20
Thu Sep 19 12:43:43 2024	1726731823	7	20	27	17
Thu Sep 19 12:43:43 2024	1726731823	14	13	27	13
Thu Sep 19 12:43:43 2024	1726731823	6	21	27	20
Thu Sep 19 12:43:43 2024	1726731823	10	17	27	12
Thu Sep 19 12:43:43 2024	1726731823	9	18	27	12
Thu Sep 19 12:43:43 2024	1726731823	5	22	27	22
Thu Sep 19 12:43:43 2024	1726731823	6	21	27	20
Thu Sep 19 12:43:43 2024	1726731823	11	16	27	15
Thu Sep 19 12:43:43 2024	1726731823	14	13	27	13
Thu Sep 19 12:43:43 2024	1726731823	11	16	27	15
Thu Sep 19 12:43:43 2024	1726731823	11	17	27	15
Thu Sep 19 12:43:43 2024	1726731823	6	21	27	20
Thu Sep 19 12:43:43 2024	1726731823	7	20	27	17
Thu Sep 19 12:43:43 2024	1726731823	7	21	27	20
Thu Sep 19 12:43:43 2024	1726731823	7	20	27	17
Thu Sep 19 12:43:43 2024	1726731823	14	14	27	11
Thu Sep 19 12:43:43 2024	1726731823	14	13	27	13
Thu Sep 19 12:43:43 2024	1726731823	11	16	27	15
Thu Sep 19 12:43:43 2024	1726731823	10	18	27	13
Thu Sep 19 12:43:43 2024	1726731823	14	13	27	13
Thu Sep 19 12:43:43 2024	1726731823	7	21	27	20
Thu Sep 19 12:43:43 2024	1726731823	7	20	27	15
Thu Sep 19 12:43:42 2024	1726731822	9	18	27	18
Thu Sep 19 12:43:43 2024	1726731823	7	20	27	17
Thu Sep 19 12:43:42 2024	1726731822	9	18	27	18
Thu Sep 19 12:43:42 2024	1726731822	9	18	27	18
Thu Sep 19 12:43:42 2024	1726731822	9	18	27	18
Thu Sep 19 12:43:43 2024	1726731823	7	20	27	15
Thu Sep 19 12:43:43 2024	1726731823	7	21	27	20
Thu Sep 19 12:43:43 2024	1726731823	14	14	27	13
Thu Sep 19 12:43:42 2024	1726731822	9	18	27	18
Thu Sep 19 12:43:42 2024	1726731822	9	18	27	18
Thu Sep 19 12:43:43 2024	1726731823	12	15	28	12
Thu Sep 19 12:43:43 2024	1726731823	8	20	28	13
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	11	17	28	15
Thu Sep 19 12:43:43 2024	1726731823	10	17	28	13
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	13	14	28	14
Thu Sep 19 12:43:43 2024	1726731823	14	14	28	11
Thu Sep 19 12:43:43 2024	1726731823	14	14	28	13
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	10	18	28	13
Thu Sep 19 12:43:43 2024	1726731823	7	20	28	17
Thu Sep 19 12:43:43 2024	1726731823	11	17	28	15
Thu Sep 19 12:43:43 2024	1726731823	15	13	28	5
Thu Sep 19 12:43:43 2024	1726731823	8	19	28	17
Thu Sep 19 12:43:43 2024	1726731823	12	15	28	13
Thu Sep 19 12:43:43 2024	1726731823	8	19	28	17
Thu Sep 19 12:43:43 2024	1726731823	10	18	28	13
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	7	20	28	17
Thu Sep 19 12:43:43 2024	1726731823	15	13	28	6
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	11	17	28	15
Thu Sep 19 12:43:43 2024	1726731823	5	23	28	22
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	17
Thu Sep 19 12:43:43 2024	1726731823	15	13	28	7
Thu Sep 19 12:43:43 2024	1726731823	10	18	28	13
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	5	23	28	22
Thu Sep 19 12:43:43 2024	1726731823	5	23	28	22
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	7	21	28	20
Thu Sep 19 12:43:43 2024	1726731823	5	23	29	22
